player_id,player_name,position,recent_team,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,carries,rushing_yards,rushing_tds,completion_pct,yards_per_attempt,td_pct,int_pct,passer_rating,adjusted_net_yards_per_attempt,yards_per_carry,completions_rolling_3,attempts_rolling_3,completion_pct_rolling_3,yards_per_attempt_rolling_3,td_pct_rolling_3,int_pct_rolling_3,passer_rating_rolling_3,adjusted_net_yards_per_attempt_rolling_3,rushing_yards_rolling_3,yards_per_carry_rolling_3,completions_rolling_5,attempts_rolling_5,completion_pct_rolling_5,yards_per_attempt_rolling_5,td_pct_rolling_5,int_pct_rolling_5,passer_rating_rolling_5,adjusted_net_yards_per_attempt_rolling_5,rushing_yards_rolling_5,yards_per_carry_rolling_5,completions_season_avg,attempts_season_avg,completion_pct_season_avg,yards_per_attempt_season_avg,td_pct_season_avg,int_pct_season_avg,passer_rating_season_avg,adjusted_net_yards_per_attempt_season_avg,rushing_yards_season_avg,yards_per_carry_season_avg
00-0023459,A.Rodgers,QB,NYJ,1,REG,SF,13,21.0,167.0,1,1.0,1.0,5.0,1.0,-1.0,0,61.904761904761905,7.9523809523809526,4.761904761904762,4.761904761904762,82.83730158730158,6.2272727272727275,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023459,A.Rodgers,QB,NYJ,2,REG,TEN,18,30.0,176.0,2,0.0,2.0,12.0,2.0,1.0,0,60.0,5.866666666666666,6.666666666666667,0.0,98.75,6.375,0.5,13.0,21.0,61.904761904761905,7.9523809523809526,4.761904761904762,4.761904761904762,82.83730158730158,6.2272727272727275,-1.0,-1.0,13.0,21.0,61.904761904761905,7.9523809523809526,4.761904761904762,4.761904761904762,82.83730158730158,6.2272727272727275,-1.0,-1.0,13.0,21.0,61.904761904761905,7.9523809523809526,4.761904761904762,4.761904761904762,82.83730158730158,6.2272727272727275,-1.0,-1.0
00-0023459,A.Rodgers,QB,NYJ,3,REG,NE,27,35.0,281.0,2,0.0,2.0,14.0,3.0,18.0,0,77.14285714285715,8.028571428571428,5.714285714285714,0.0,118.86904761904762,8.297297297297296,6.0,15.5,25.5,60.95238095238095,6.90952380952381,5.714285714285714,2.380952380952381,90.79365079365078,6.301136363636363,0.0,-0.25,15.5,25.5,60.95238095238095,6.90952380952381,5.714285714285714,2.380952380952381,90.79365079365078,6.301136363636363,0.0,-0.25,15.5,25.5,60.95238095238095,6.90952380952381,5.714285714285714,2.380952380952381,90.79365079365078,6.301136363636363,0.0,-0.25
00-0023459,A.Rodgers,QB,NYJ,4,REG,DEN,24,42.0,225.0,0,0.0,5.0,41.0,5.0,26.0,0,57.14285714285714,5.357142857142857,0.0,0.0,72.02380952380952,3.9148936170212765,5.2,19.333333333333332,28.666666666666668,66.34920634920636,7.282539682539682,5.714285714285714,1.5873015873015872,100.1521164021164,6.966523341523342,6.0,1.8333333333333333,19.333333333333332,28.666666666666668,66.34920634920636,7.282539682539682,5.714285714285714,1.5873015873015872,100.1521164021164,6.966523341523342,6.0,1.8333333333333333,19.333333333333332,28.666666666666668,66.34920634920636,7.282539682539682,5.714285714285714,1.5873015873015872,100.1521164021164,6.966523341523342,6.0,1.8333333333333333
00-0023459,A.Rodgers,QB,NYJ,5,REG,MIN,29,54.0,244.0,2,3.0,3.0,26.0,,0.0,0,53.70370370370371,4.518518518518518,3.7037037037037033,5.555555555555555,54.861111111111114,2.1578947368421053,,23.0,35.666666666666664,64.76190476190477,6.417460317460318,4.1269841269841265,0.0,96.54761904761905,6.195730304772859,15.0,3.9,20.5,32.0,64.04761904761905,6.8011904761904765,4.285714285714286,1.1904761904761905,93.12003968253968,6.203615910397826,11.0,2.675,20.5,32.0,64.04761904761905,6.8011904761904765,4.285714285714286,1.1904761904761905,93.12003968253968,6.203615910397826,11.0,2.675
00-0023459,A.Rodgers,QB,NYJ,6,REG,BUF,23,35.0,294.0,2,1.0,3.0,22.0,,0.0,0,65.71428571428571,8.4,5.714285714285714,2.857142857142857,98.98809523809523,7.026315789473684,,26.666666666666668,43.666666666666664,62.66313932980601,5.968077601410935,3.1393298059964727,1.8518518518518519,81.91798941798942,4.790028550386894,14.666666666666666,5.6,22.2,36.4,61.97883597883598,6.344656084656084,4.169312169312169,2.0634920634920633,85.46825396825396,5.394471675686681,8.8,2.675,22.2,36.4,61.97883597883598,6.344656084656084,4.169312169312169,2.0634920634920633,85.46825396825396,5.394471675686681,8.8,2.675
00-0023459,A.Rodgers,QB,NYJ,7,REG,PIT,24,39.0,276.0,1,2.0,1.0,7.0,,0.0,0,61.53846153846154,7.076923076923077,2.564102564102564,5.128205128205128,70.03205128205127,4.975,,25.333333333333332,43.666666666666664,58.85361552028218,6.091887125220459,3.1393298059964727,2.804232804232804,75.29100529100528,4.366368047779022,8.666666666666666,5.2,24.2,39.2,62.74074074074074,6.434179894179894,4.359788359788359,1.6825396825396826,88.6984126984127,5.554280288126873,9.0,3.9,22.333333333333332,36.166666666666664,62.60141093474427,6.68721340388007,4.426807760141093,2.195767195767196,87.72156084656085,5.666445694651181,7.333333333333333,2.675
00-0023459,A.Rodgers,QB,NYJ,8,REG,NE,17,28.0,233.0,2,0.0,1.0,9.0,,0.0,0,60.71428571428571,8.321428571428571,7.142857142857142,0.0,111.16071428571428,9.10344827586207,,25.333333333333332,42.666666666666664,60.31881698548366,6.665147198480532,3.994030660697327,4.513634513634513,74.62708587708586,4.719736842105263,0.0,,25.4,41.0,63.04843304843305,6.676231176231175,3.539275539275539,2.7081807081807083,82.95482295482296,5.274280288126873,8.8,5.6,22.571428571428573,36.57142857142857,62.4495610209896,6.742886214314786,4.160707017849875,2.614686900401186,85.1944880516309,5.5676677382724415,6.285714285714286,2.675
00-0023459,A.Rodgers,QB,NYJ,9,REG,HOU,22,32.0,211.0,3,0.0,2.0,18.0,1.0,-1.0,0,68.75,6.59375,9.375,0.0,118.09895833333333,7.4411764705882355,-1.0,21.333333333333332,34.0,62.65567765567766,7.932783882783883,5.14041514041514,2.6617826617826617,93.39362026862027,7.0349213551119165,0.0,,23.4,39.6,59.76271876271876,6.734802604802605,3.8249898249898244,2.7081807081807083,81.41315628815627,5.435510483839827,5.2,5.2,21.875,35.5,62.23265160765161,6.940204008954009,4.533475783475783,2.2878510378510377,88.44026633089132,6.0096403054711445,5.5,2.675
00-0023459,A.Rodgers,QB,NYJ,10,REG,ARI,22,35.0,151.0,0,0.0,3.0,23.0,,0.0,0,62.857142857142854,4.314285714285714,0.0,0.0,72.44047619047619,3.3684210526315788,,21.0,33.0,63.66758241758242,7.33070054945055,6.360653235653236,1.7094017094017093,99.76390796703295,7.173208248816768,-0.3333333333333333,-1.0,23.0,37.6,62.08414733414734,6.982124033374033,5.699989824989824,2.7081807081807083,90.62818605006103,6.140767054553218,-0.2,-1.0,21.88888888888889,35.111111111111114,62.95680142902365,6.9017091190702295,5.0714229186451405,2.0336453669787002,91.73567655338488,6.168699879373044,4.777777777777778,1.94
